lexeme          lineNo TokenName              ValueIfNumber Parent                 isLeaf Node                  
d4             	 58 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
.              	 58 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 option_single_constructed	 no  	 oneExpansion          	 
s              	 58 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
.              	 58 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 moreExpansions        	 no  	 oneExpansion          	 
ln             	 58 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 moreExpansions        	 ----      	 option_single_constructed	 no  	 moreExpansions        	 
.              	 58 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 moreExpansions        	 no  	 oneExpansion          	 
beginpoint     	 58 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 moreExpansions        	 ----      	 moreExpansions        	 no  	 moreExpansions        	 
.              	 58 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 moreExpansions        	 no  	 oneExpansion          	 
x              	 58 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 moreExpansions        	 ----      	 moreExpansions        	 no  	 moreExpansions        	 
eps            	 0  	 eps                   	 ----      	 moreExpansions        	 yes 	 eps                   	 
----           	 0  	 moreExpansions        	 ----      	 moreExpansions        	 no  	 moreExpansions        	 
----           	 0  	 var                   	 ----      	 ioStmt                	 no  	 var                   	 
)              	 58 	 TK_CL                 	 ----      	 ioStmt                	 yes 	 TK_CL                 	 
;              	 58 	 TK_SEM                	 ----      	 ioStmt                	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
write          	 59 	 TK_WRITE              	 ----      	 ioStmt                	 yes 	 TK_WRITE              	 
----           	 0  	 ioStmt                	 ----      	 stmt                  	 no  	 ioStmt                	 
(              	 59 	 TK_OP                 	 ----      	 ioStmt                	 yes 	 TK_OP                 	 
b5c6           	 59 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
.              	 59 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 option_single_constructed	 no  	 oneExpansion          	 
tag            	 59 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
eps            	 0  	 eps                   	 ----      	 moreExpansions        	 yes 	 eps                   	 
----           	 0  	 moreExpansions        	 ----      	 option_single_constructed	 no  	 moreExpansions        	 
----           	 0  	 var                   	 ----      	 ioStmt                	 no  	 var                   	 
)              	 59 	 TK_CL                 	 ----      	 ioStmt                	 yes 	 TK_CL                 	 
;              	 59 	 TK_SEM                	 ----      	 ioStmt                	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
return         	 60 	 TK_RETURN             	 ----      	 returnStmt            	 yes 	 TK_RETURN             	 
----           	 0  	 returnStmt            	 ----      	 stmts                 	 no  	 returnStmt            	 
eps            	 0  	 eps                   	 ----      	 optionalReturn        	 yes 	 eps                   	 
----           	 0  	 optionalReturn        	 ----      	 returnStmt            	 no  	 optionalReturn        	 
;              	 60 	 TK_SEM                	 ----      	 returnStmt            	 yes 	 TK_SEM                	 
end            	 61 	 TK_END                	 ----      	 mainFunction          	 yes 	 TK_END                	 
